CarNumber,Refund,Fines,Make,Model,Year
Y163O8161RUS,2.0,3200.0,Ford,Focus,2006
E432XX77RUS,1.0,6500.0,Toyota,Camry,2019
7184TT36RUS,1.0,2100.0,Ford,Focus,1983
X582HE161RUS,2.0,2000.0,Ford,Focus,2009
92918M178RUS,1.0,5700.0,Ford,Focus,1989
H234YH197RUS,2.0,6000.0,Ford,Focus,1990
E40577152RUS,1.0,8594.5864661654,Ford,Focus,1981
707987163RUS,2.0,2200.0,Ford,Focus,1997
K330T8197RUS,2.0,8200.0,Skoda,Octavia,2008
X786CO96RUS,1.0,8594.5864661654,Ford,Focus,2005
C477M7161RUS,1.0,2500.0,Ford,Focus,2018
O21997197RUS,1.0,2000.0,Ford,Focus,2009
M592CH197RUS,2.0,8594.5864661654,Skoda,Octavia,2012
9020YC197RUS,2.0,145000.0,Skoda,Octavia,1987
8182XX154RUS,1.0,200.0,Ford,Focus,1980
7830C8197RUS,2.0,8594.5864661654,Ford,Focus,2005
7066C8197RUS,2.0,15000.0,Volkswagen,Passat,2002
M298CH161RUS,2.0,8594.5864661654,Ford,Focus,1988
E445TC197RUS,1.0,8594.5864661654,Ford,Focus,2016
8440XX154RUS,1.0,6200.0,Ford,Focus,1990
9371CE154RUS,2.0,8594.5864661654,Skoda,Octavia,1992
9182CE154RUS,2.0,19800.0,Ford,Focus,2011
83298C154RUS,2.0,8594.5864661654,Ford,Focus,2009
Y7659C197RUS,2.0,8594.5864661654,Ford,Focus,2006
C922YE197RUS,2.0,3800.0,Volkswagen,Golf,1991
7364C8197RUS,2.0,8594.5864661654,Ford,Focus,2009
M5039X197RUS,2.0,7400.0,Volkswagen,,1985
8603T8154RUS,1.0,1500.0,Ford,Focus,1986
92928M178RUS,1.0,8594.5864661654,Ford,Focus,2015
O672E8197RUS,2.0,63300.0,Skoda,Octavia,2003
E42277152RUS,2.0,10600.0,Ford,Focus,2019
C903MC161RUS,1.0,1600.0,Volkswagen,Jetta,2019
T7318T163RUS,2.0,12000.0,Toyota,Camry,1995
Y7719C197RUS,1.0,9200.0,Ford,Focus,1990
T011MY163RUS,1.0,2000.0,Ford,Focus,2000
H115YO163RUS,1.0,2200.0,Ford,Focus,1988
73467Y96RUS,1.0,800.0,Ford,Focus,2009
O134HE197RUS,1.0,8594.5864661654,Ford,Focus,1998
H968HY161RUS,1.0,2400.0,Ford,Focus,1985
Y654E8750RUS,1.0,500.0,Skoda,Octavia,1998
H963HY161RUS,2.0,2800.0,Ford,Focus,1988
H232YH197RUS,2.0,8600.0,Ford,Focus,1994
7843C8197RUS,2.0,12300.0,Ford,Focus,1999
X791O796RUS,1.0,500.0,Ford,Focus,1980
H958HY161RUS,1.0,1800.0,Ford,Focus,2015
708587163RUS,2.0,1400.0,Ford,Focus,1987
Y973O8197RUS,2.0,8594.5864661654,Ford,Focus,2006
97977H178RUS,1.0,1000.0,Ford,Focus,2006
H917TC36RUS,2.0,4000.0,Ford,Focus,1996
X786CO96RUS,1.0,1000.0,Ford,Focus,2012
Y7709C197RUS,1.0,500.0,Ford,Focus,2001
8513XX154RUS,1.0,1500.0,Ford,Focus,1980
T870X7163RUS,2.0,2000.0,Skoda,Octavia,2013
8818C877RUS,1.0,2500.0,Volkswagen,Passat,2000
T395OT197RUS,2.0,8594.5864661654,Volkswagen,Touareg,2000
K327T8197RUS,2.0,20800.0,Volkswagen,Golf,1982
8311XX154RUS,2.0,8600.0,Ford,Focus,1994
X423MK197RUS,2.0,14300.0,Ford,Focus,1995
96429X178RUS,1.0,2600.0,Ford,Focus,1981
O275O7161RUS,2.0,16600.0,Ford,Focus,2002
7789KT197RUS,2.0,12600.0,Ford,Focus,1983
E28877161RUS,1.0,1000.0,Ford,Focus,1980
T6068M116RUS,1.0,1000.0,Ford,Focus,2012
9498KX178RUS,2.0,1600.0,Ford,Focus,2003
99209X178RUS,1.0,500.0,Skoda,Octavia,2004
T6449O50RUS,2.0,8594.5864661654,Ford,Focus,2018
9683EC178RUS,2.0,26000.0,Ford,Focus,1984
Y353O8197RUS,2.0,21800.0,Ford,Focus,1985
O719MM163RUS,2.0,2300.0,Ford,Focus,2010
E535MM199RUS,1.0,500.0,Volkswagen,Touareg,2001
Y352O8197RUS,2.0,103600.0,Ford,Focus,1985
7788KT197RUS,2.0,12000.0,Ford,Focus,1980
E807HE77RUS,2.0,4500.0,Ford,Focus,1986
M516CH161RUS,1.0,1000.0,Ford,Focus,1993
89587X197RUS,1.0,8594.5864661654,Toyota,Camry,2006
7781KT197RUS,2.0,600.0,Ford,Focus,2017
E645TH36RUS,1.0,2400.0,Ford,Focus,1994
Y302E877RUS,1.0,500.0,Ford,Focus,1989
M058XE36RUS,2.0,8500.0,Skoda,Octavia,2000
7830C8197RUS,1.0,5100.0,Ford,Focus,1982
8166XX154RUS,1.0,2400.0,Ford,Focus,1995
M589CH197RUS,2.0,7900.0,Volkswagen,,1997
9408H7178RUS,1.0,1000.0,Skoda,Octavia,2017
H387TM197RUS,2.0,1600.0,Volkswagen,Passat,1990
8049HT125RUS,1.0,500.0,Ford,Focus,1995
9698MO178RUS,2.0,18400.0,Volkswagen,Golf,1989
8685HE154RUS,1.0,1000.0,Ford,Focus,1982
7177TT36RUS,1.0,1000.0,Ford,Focus,2016
O77997197RUS,1.0,22400.0,Ford,Focus,1983
Y234E877RUS,1.0,8594.5864661654,Ford,Focus,2004
97987H178RUS,2.0,5000.0,Ford,Focus,1995
X257HE161RUS,2.0,10000.0,Ford,Focus,2004
T399KX197RUS,2.0,10200.0,Ford,Focus,2007
H957HY161RUS,1.0,2000.0,Ford,Focus,2001
K379HY161RUS,1.0,200.0,Volkswagen,Golf,2001
T654HT96RUS,1.0,4000.0,Toyota,Corolla,1989
8439XX154RUS,2.0,4600.0,Ford,Focus,1985
Y965EE197RUS,2.0,9600.0,Ford,Focus,2002
X758HY197RUS,2.0,24200.0,Ford,Focus,2009
M0279X197RUS,2.0,180000.0,Ford,Focus,2009
H224X836RUS,1.0,3500.0,Ford,Focus,1992
E6849O154RUS,1.0,200.0,Volkswagen,Golf,1990
O83797197RUS,2.0,75900.0,Ford,Focus,1982
9402KK197RUS,2.0,8594.5864661654,Toyota,Camry,1984
7368C8197RUS,1.0,4400.0,Ford,Focus,2014
H427YH197RUS,2.0,29700.0,Volkswagen,Passat,2005
9583EY178RUS,2.0,4300.0,Ford,Focus,1986
Y038E877RUS,2.0,6500.0,Ford,Focus,2019
9822H8161RUS,1.0,100.0,Ford,Focus,2015
7826C8197RUS,2.0,3600.0,Ford,Focus,2010
E160YX77RUS,2.0,2200.0,Ford,Focus,1993
82337X197RUS,2.0,2100.0,Ford,Focus,2017
X757HY197RUS,2.0,6800.0,Ford,Focus,1991
X765HY197RUS,2.0,13900.0,Ford,Focus,2003
934497178RUS,2.0,1900.0,Skoda,Octavia,1987
K2807K154RUS,1.0,1000.0,Ford,Focus,2009
T8008Y125RUS,2.0,1000.0,Ford,Focus,1986
X765HY197RUS,2.0,27800.0,Ford,Focus,2005
Y960EE197RUS,1.0,8594.5864661654,Skoda,Octavia,2017
7840C8197RUS,2.0,7000.0,Ford,Focus,2004
K846YE77RUS,2.0,2000.0,Volkswagen,Passat,1998
E40577152RUS,1.0,500.0,Ford,Focus,1987
7827C8197RUS,1.0,7500.0,Ford,Focus,2011
Y655E8750RUS,2.0,5200.0,Skoda,Octavia,2009
H003MH197RUS,2.0,2900.0,Ford,Focus,1985
Y7699C197RUS,2.0,15800.0,Ford,Focus,2013
Y8399C197RUS,2.0,1800.0,Ford,Focus,1985
9135X938RUS,2.0,4400.0,Ford,Focus,2014
H385TM197RUS,1.0,9500.0,Volkswagen,Passat,2014
9428EX178RUS,1.0,1000.0,Ford,Focus,1988
H837YK197RUS,2.0,4200.0,Audi,,2016
O83597197RUS,2.0,4000.0,Ford,Focus,1989
E42577152RUS,2.0,8594.5864661654,Ford,Focus,2013
E53277152RUS,1.0,1000.0,Ford,Focus,1998
C476M7161RUS,2.0,1500.0,Ford,Focus,1992
9943KK197RUS,2.0,29700.0,Ford,Focus,1988
8165XX154RUS,1.0,4900.0,Ford,Focus,2007
T476KX197RUS,1.0,1500.0,Ford,Focus,1988
C422X938RUS,2.0,10500.0,Ford,Focus,1989
K328T8197RUS,1.0,300.0,Volkswagen,Golf,2011
9466EX178RUS,2.0,800.0,Ford,Focus,1985
X256HE161RUS,1.0,2400.0,Ford,Focus,2000
Y275O8197RUS,1.0,8594.5864661654,Ford,Focus,2010
8165XX154RUS,2.0,4200.0,Ford,Focus,2018
E432XX77RUS,2.0,13000.0,Toyota,Camry,1984
7830C8197RUS,2.0,10200.0,Ford,Focus,2017
H217X836RUS,1.0,2000.0,Ford,Focus,2013
Y316E877RUS,2.0,7000.0,Ford,Focus,2013
934497178RUS,1.0,3800.0,Skoda,Octavia,1989
O77997197RUS,2.0,8594.5864661654,Ford,Focus,2009
8601XX154RUS,1.0,1300.0,Skoda,Octavia,2010
M741T9152RUS,2.0,1000.0,Ford,Focus,1990
9883HX152RUS,2.0,1000.0,Ford,Focus,2004
Y6829Y50RUS,1.0,500.0,Ford,Focus,1990
H004MH197RUS,1.0,39600.0,Ford,Focus,2001
704987163RUS,2.0,8594.5864661654,Ford,Focus,2007
E160YX77RUS,2.0,1100.0,Ford,Focus,2017
E316EH197RUS,1.0,1300.0,Volkswagen,,2005
X758HY197RUS,2.0,72600.0,Ford,Focus,2002
O22297197RUS,1.0,500.0,Ford,Focus,2016
O02597197RUS,1.0,800.0,Ford,Focus,2009
X015HY197RUS,2.0,16000.0,Toyota,Corolla,2013
T769OT197RUS,2.0,30900.0,Volkswagen,Golf,2001
Y778EE197RUS,1.0,24000.0,Volkswagen,Golf,1997
7829C8197RUS,2.0,1800.0,Ford,Focus,2015
T272HH163RUS,1.0,1000.0,Ford,Focus,2002
T018OX197RUS,2.0,3400.0,Toyota,Corolla,1994
Y255E877RUS,1.0,2500.0,Ford,Focus,2015
9182CE154RUS,2.0,13200.0,Ford,Focus,2016
9697MO178RUS,1.0,1000.0,Volkswagen,Golf,2010
C477M7161RUS,2.0,5000.0,Ford,Focus,1992
T686EO197RUS,1.0,500.0,Toyota,Camry,2011
C590EY154RUS,2.0,8594.5864661654,Ford,Focus,1990
T941CC96RUS,1.0,2000.0,Ford,Focus,2003
O22397197RUS,2.0,55500.0,Ford,Focus,1985
X242EC197RUS,2.0,10600.0,Volkswagen,Golf,2015
T020OX197RUS,1.0,34300.0,Toyota,Corolla,2009
